"O arquivo deve ser salvo em CSV separado por ""pronto e virgula"". Caso tenha ""ponto e virgula"" no nome, resumo ou descrição do produto, é necessário que faça a substituição dele pela string [pontovirgula] antes de salvar o CSV.",,,,,,,,,,,,
REF,Nome,Slug,Descricao,Resumo,Preco,PrecoPromocao,Peso,Quantidade,Altura,Largura,Profundidade,"GerenciarEstoque
"
Codigo do Produto,Nome do product,URL sem o dominio,Descricao completa do produto,Resumo do produto,preco sem promocao,preco com promocao,Peso em KG (sem o kg),Quantidade caso não tenha variação,Altura do produto em cm,Largura do produto em cm,Profundidade do produto em cm,"Preencha 1 para ""Sim"" e 0 para ""Vender mesmo sem ter em estoque"""
1000,COLAR DE ÂMBAR,,"Cor: mel
Acabamento: polido
Modelo: barroco
Comprimento do colar: 30 - 33cm
Tamanho das contas: 0,5 - 0,8cm
Peso aproximado: 5 gr

Composição

100% âmbar báltico certificado.
Fio 100% algodão.
Fecho rosca em resina plástica.

Feito a mão

 

Contra indicado para uso em piscinas com cloro.","Sem dùvida este é o modelo mais clássico de colar de ambar para bebes e crianças. Conhecido como colar para dentição é indicado para bebês e crianças principalmente na fase de nascimento dos dentes onde estão mais expostos a infecções e inflamações. Sua ação calmante, antiinflamatório e analgésico natural. Estimula o sistema imunológico, combate inflamações e infecções. Equilibra as energias do corpo.

Beneficios do colar  em bebês e crianças: 
Calmante natural;
Analgésico, antibiótico e antiinflamatório natural;
Estimula e melhora o sistema imunológico;
Alivia dores na fase de dentição;
Reduz processos inflamatórios, principalmente nas gengivas, garganta e ouvidos;
Auxilia a recuperação do corpo nos resfriados, gripes e febres.
","99,9","99,9",,5,,,,1
1001,COLIC CALM,,"Produto importado dos EUA 
Produzido nos EUA 
Embalagem: Caixa 
Dimensões da embalagem: A 125 x L 70 x P 40 mm. 
Conteúdo da embalagem: 60ml que rende de 24 a 48 doses
Pode ser usada a partir de 14 dias de vida.
Inspecionados pelo FDA (Food and Drug Adminitration)
","Colic Calm - A Solução para as Cólicas do seu Bebê!

O Colic Calm é uma fórmula inovadora que contém nove ingredientes cuidadosamente selecionados.

Colic Calm é um remédio homeopático 100% natural.
Funciona instantaneamente! Ele só precisa ser dado assim que os sintomas de desconforto infantil tornam-se evidentes. Não existe a necessidade de doses regulares, e ao contrário de outras fórmulas, não é necessário grandes esperas para que faça efeito sobre os problemas do seu bebê.
Não é a toa que este produto é altamente recomendado por pediatras, doulas, parteiras e farmacêuticos. Os pais e os bebês podem finalmente ter um alívio efetivo contra cólicas. Sua fórmula totalmente natural, livre de alérgenos tem demonstrado ser a melhor solução mesmo nos casos mais difíceis. A fórmula suave proporciona o alívio mais seguro e eficaz de cólicas e dor de gases, e os bebês adoram seu sabor!
Embora originalmente concebido para o tratamento de cólicas e gases nos bebês, muitos pais também relataram grande sucesso em aliviar refluxo ácido. Ao contrário dos medicamentos que são comumente prescritos nos dias de hoje, Colic Calm não altera o equilíbrio do delicado sistema digestivo dos bebês. Os ingredientes homeopáticos de Colic Calm estimulam as propriedades de auto-cura do organismo.
Este produto também ajuda o sistema digestivo do bebê a se ajustar a novos alimentos, alivia soluços e dores de estômago, que muitas vezes são resultado do aumento da produção de saliva durante a dentição.

COLIC CALM ORIGINAL É O ÚNICO PRODUTO QUE OFERECE
Regulamentado no FDA (órgão do governo dos Estados Unidos, criado em 1862, com a função de controlar os alimentos e medicamentos, através de diversos testes e pesquisas), ao contrário de suplementos alimentares comuns;
Seguro e 100% natural;
Sem efeitos colaterais
Fabricado nos EUA usando apenas ingredientes naturais da mais alta qualidade. Completamente livre de açúcar, simeticona, bicarbonato de sódio, extratos e óleos de ervas, trigo, glúten, soja, leite, e produtos de origem animal.

MODO DE USAR
Agite bem o frasco antes de usar e armazene em temperatura ambiente, longe da luz solar direta.
Quando ocorrerem os sintomas de cólica, encha a medida de administração oral fornecida e coloque devagar na boca, entre as maçãs do rosto e a gengiva.
Cada dose pode ser repetida uma vez a cada 60 minutos, até 3 doses, ou conforme orientado por um médico. Não ultrapasse 4 doses por dia. 
Limpe a medida de administração oral e deixe secar ao ar fresco após cada uso. Feche o produto após cada administração.
Apenas para uso oral.


DOSAGEM
Quando ocorrerem os sintomas de cólica, use a medida de administração oral fornecida com as seguintes recomendações:
Menos de 9 quilos = (1,25 mL) equivalente a 1/4 de colher de chá
Mais de 9 quilos = (2,5 mL) equivalente a 1/2 de colher de chá

INGREDIENTES ATIVOS
Uma mistura homeopática de camomila, erva-doce, cominho, hortelã, gengibre, aloe, erva-cidreira, abrunheiro e carvão vegetal.

PRECAUÇÕES
É recomendado o descarte do produto três meses após a abertura do frasco
Manter fora do alcance das crianças. Não exceder a dose recomendada. Não use se o selo de segurança estiver violado ou faltando. Consulte o seu profissional de saúde antes de dar este ou qualquer produto semelhante a uma criança. Se os sintomas não mostram nenhum sinal de melhora, consulte o pediatra.

Agora sim com total segurança, aproveite os benefícios que este grande aliado pode oferecer ao seu bebê e ao bem estar de toda sua família!
","129,9","129,9",,5,,,,1
1002, VICK BABY RUB CALMANTE E DESCONGESTIONANTE,,"Produto importado dos EUA 
Produzido na Alemanha 
Embalagem: Caixa 
Dimensões da embalagem: A 55 x L 55 x P 55 mm. 
Conteúdo da embalagem: 50g
Pode ser usada a partir de 3 meses.
","O famoso Vick Vaporub na versão para bebês. Especialmente desenvolvido, com fórmula suave, o Vicks BabyRub contém vaselina e Aloe & vera, irá deixar a pele do bebê macia e sem irritar.

Contém fragrância suave de eucalipto, alecrim e lavanda, perfeito para acalmar e relaxar o bebê em dias que o desconforto causado por resfriado o deixa mais irritado.

Trata com suavidade e naturalmente os sintomas de gripes e resfriado, como congestão nasal e tosse.


Precauções:

- Use como orientado, evite contato com olhos e boca.

- Não use em pele irritada ou machucada.

- Não leve em vaporizador ou microondas.

- Mantenha fora do alcance das crianças.

- Armazenar em local fresco e longo do alcance das crianças.

- Persistindo os sintomas, consulte orientação médica.
","59,9","59,9",,5,,,,1
1003,BABY BATH JOHNSON SOOTHING VAPOR,,"Produto importado dos EUA 
Produzido nos EUA
Embalagem: Frasco 
Dimensões da embalagem: A 185 x L 100 x P 40 mm. 
Conteúdo da embalagem: 444ml
Pode ser usada a partir de 3 meses.
","Em um banho morno e gostoso, o Soothing Vapor Bath da Jhonson age com um vapor descongestionante. Enriquecido com alecrim, eucalipto e mentol, acalma enquanto limpa. A espuma de banho com o Vapor Bath ajuda a descongestionar o nariz de bebês e crianças no banho, além de acalmar e relaxar os pequenos. A consistência é semelhante a de um sabonete líquido, e para segurança total ele é testado dermatologicamente e não arde os olhos. A tampinha funciona como um medidor, basta colocar uma tampa do Vapor Bath na banheira do bebê e pronto! 

- Não irrita os olhos 
- Testado e aprovado por especialistas 
- Produto econômico (medida 1 tampinha) 
","69,9","69,9",,5,,,,1
1004,LENÇOS UMIDECIDOS COM SORO FISIOLOGICO BOOGIE WIPPES - FRESH,,"Produto importado dos EUA 
Produzido os EUA 
Embalagem: Pacote
Dimensões da embalagem: A 60 x L 185 x P 56 mm. 
Conteúdo da embalagem: 45 lenços
Não há restrição de uso.
","Esses lenços umedecidos com soro fisiológicos são recomendados para quem tem pele sensível e para os bebês que tem a pele muito delicada. Serve para tanto limpar o nariz do bebê quando está resfriado ou quando o nariz esta seco, por poluição, ar seco, ar condicionado etc.
É super recomendado por pediatras como uma alternativa as fraldinhas, porque esse soro que contém no lenço ajuda a dissolver o muco. Hidrata pois tem vitamina E, camomila e Aloé Vera.
Sem álcool, hipoalergênico, sem adição de agentes não naturais.
Indicado para todas as idades e ate nos adultos.
Contém 45 unidades.
","49,9","49,9",,5,,,,1
1005,NOSEFRIDA ASPIRADOR NASAL - COM ESTOJO E 4 REFIS ,,"Fabricado na Suécia
Embalagem: Estojo
Dimensões da embalagem: A 180 x L 80 x P 30mm. 
Conteúdo da embalagem: Aspirados nasal e 4 filtros
Não há restrição de uso
","O Nosefrida aspirador nasalé recomendado por pediatras e uma ótima escolha para descongestinar o nariz do bebê com segurança e cuidado. Ele deixa o narizinho da criança livre de mucosas e sujeiras que podem dificultar a respiração e assim proporciona uma noite mais tranquila e agradável.Seu funcionamento pode causar uma certa estranheza e desconfiança da mãe, mas ele é simples, fácil de usar e funciona mesmo. Basta colocar o tubinho do aspirador nasal Nosefrida entre as narinas do seu filho (nunca dentro da narina) e aí é só sugar as impurezas. Pode parecer um pouco nojento, mas ele possui um filtro que impede a transferência de qualquer bactéria ou muco, oferecendo segurança e higiene.Por que Comprar o aspirador nasal Nosefrida?- Remove facilmente as impurezas do nariz do bebê- Permite que o bebê durma melhor- Dá a mamãe uma melhor noite de sono- Higiênico- Não contém BPA- Não apresenta riscos ou danos as estruturas internas do nariz- Fácil de limparProduto ImportadoConteúdo da Embalagem: 01 aspirador nasal Nosefrida 04 FiltrosImagens meramento ilustrativas.","99,9","99,9",,5,,,,1
1006,FILTROS PARA ASPIRADOR NASAL NOSEFRIDA ,,Refil para Aspirador Nasal Nosefrida contendo 20 filtros de reposição. Os filtros Nosefrida evitam a transferência de muco e bactérias e foram clinicamente comprovados por especialistas.,"Refil de Filtros para Nosefrida

Para quem já possui o famoso Aspirador Nasal Nosefrida, esse kit contém 20 filtros de reposição, mantendo seu Nosefrida sempre novo e higiênico. O filtro foi clinicamente aprovado por especialistas e serve para evitar a transferência do muco ou bactérias do bebê para a mãe ou quem quer que esteja utilizando o produto.

Conteúdo da Embalagem: Caixa Refil de Filtros Nosefrida com 20 unidades

Imagens meramente ilustrativas. Cores podem sofrer leves alterações.

Não acompanha Aspirador Nasal Nosefrida.","24,9","24,9",,5,,,,1
1007,TERMÔMETRO ADESIVO,,"Embalagem com 8 adesivos.                                            Modo de Usar: Retire o adesivo da cartela e aplique diretamente sob a pele. Em alguns segundos o Termo-Friends irá acender indicando a temperatura: N (temperatura normal) ou 37,38,39,40.
Dica: Para otimizar a precisão, recomenda-se a aplicação do Termo-Friends na testa, peito ou axilas.
Para remover, simplesmente retire da pele e descarte. Não reutilize.
","Adesivos indicadores de Febre
O Termômetro Adesivo Termo-Friends oferece aos pais e filhos uma maneira prática, rápida e segura para medir e monitorar a febre. Com desenhos de bichinhos divertidos, os adesivos são fáceis de aplicar e ao entrar em contato com o calor do corpo, são capazes de informar em alguns segundos se seu bebê está com a temperatura normal (N) ou com temperaturas de 37,38,39 ou 40 graus.
Como são hipoalergênicos, eles são seguros e proporcionam um monitoramento contínuo durante 48 horas. Com o Termômetro Adesivo Termo-Friends, você não precisa mais acordar seu pequeno durante a noite para verificar sua temperatura. A cartela contém 08 adesivos que você deve descartar após o uso.
Principais Características:
- Uma maneira rápida e segura de monitorar a temperatura
- Produto inovador
- Design divertido com desenho de bichinhos
- Fácil aplicação, fixa na pele como um adesivo comum
- Fácil remoção
- Hipoalergênico, com baixo potencial de causar reações alérgicas
- Monitoramento contínuo por 48 horas
- Recomenda-se a aplicação na testa, peito ou axilas
Recomendado para crianças maiores de 01 ano.
Imagens meramente ilustrativas. Cores podem sofrer leves alterações.
","54,9","54,9",,5,,,,1
1008,KIT RESFRIADO: VIXCK BABY RUB+ JOHNSON SOOTHING VAPOR,,"VICK BABY
Fabricado na Suécia
Embalagem: Estojo
Dimensões da embalagem: A 180 x L 80 x P 30mm. 
Conteúdo da embalagem: Aspirados nasal e 4 filtros
Pode ser usada a partir de 3 meses.

BABY BATH JOHNSON SOOTHING VAPOR
Produto importado dos EUA 
Produzido nos EUA
Embalagem: Frasco 
Dimensões da embalagem: A 185 x L 100 x P 40 mm. 
Conteúdo da embalagem: 444ml
Pode ser usada a partir de 3 meses.
","Baby Rub
Indicada para alivio dos sintomas da congestão nasal e tosse do bebê. Sua fórmula não medicamentosa contem eucalipto, alecrim e lavanda vai ajudar a relaxar e acalmar o seu bebê

 Vapor Bath
É uma espuma de banho enriquecida com eucalipto e mentol que proporciona conforto aos sintomas da gripe e ajuda a desentupir o nariz do Bebê. Testado dermatologicamente, não arde os olhos. Limpa suavemente, deixando a sensação de pele suave e fresca Clinicamente comprovada, anti-alergico, dermatologicamente testado. Enriquecido com alecrim, eucalipto e mentol, Recomenda-se a medida de uma tampa do frasco diluída na água do banho do Bebê. 15 minutinhos de banho são suficientes ou passar em todo o corpo da criança, rosto, costas peito, fazer bastante espuma num banho quentinho e refrescante.
Contém - 443ml
","119,9","119,9",,5,,,,1
